Date,Close/Last,Volume,Open,High,Low,Day
11/1/2022,90.47,47161350,95.45,96.03,90.37,678
11/2/2022,86.97,57038280,90.94,91.18,86.88,679
11/3/2022,83.43,61288020,86.32,86.52,83.34,680
11/4/2022,86.58,51124900,85.4,86.64,83.71,681
11/7/2022,88.49,34078910,87.28,88.9,86.85,682
11/8/2022,88.9,30429030,88.9,90.32,87.5901,683
11/9/2022,87.32,31769100,88.45,89.435,87.28,684
11/10/2022,93.94,51620140,92.25,94.39,91.61,685
11/11/2022,96.41,33090480,94.69,96.93,93.92,686
11/14/2022,95.7,30179540,95.09,96.79,94.51,687
11/15/2022,98.44,41640820,98.26,100.14,96.71,688
11/16/2022,98.85,29105150,97.9,99.6375,97.64,689
11/17/2022,98.36,26052600,96.97,99.28,96.79,690
11/18/2022,97.43,28342300,98.77,98.9,96.37,691
11/21/2022,95.6,21647390,97.29,98.4,95.355,692
11/22/2022,97.05,23438480,95.95,97.22,94.05,693
11/23/2022,98.46,18868090,97.09,98.76,97.09,694
11/25/2022,97.46,9701441,98.24,98.64,97.4,695
11/28/2022,96.05,26252430,97.036,97.58,95.61,696
11/29/2022,95.19,20061720,95.73,96.12,94.11,697
11/30/2022,100.99,43647480,94.82,101.04,94.42,698
12/1/2022,100.99,28687100,101.02,102.25,100.25,699
12/2/2022,100.44,21480700,99.05,100.77,98.9,700
12/5/2022,99.48,24405090,99.4,101.38,99,701
12/6/2022,96.98,24910660,99.3,99.78,96.42,702
12/7/2022,94.94,31045450,96.41,96.8811,94.715,703
12/8/2022,93.71,32213290,95.38,95.58,93.45,704
12/9/2022,92.83,28225450,93.77,94.26,92.75,705
12/12/2022,93.31,29009010,92.71,93.56,91.61,706
12/13/2022,95.63,40593660,97.76,99.53,95.03,707
12/14/2022,95.07,28733600,95.2,96.87,93.6,708
12/15/2022,90.86,40107030,93.13,93.64,90.01,709
12/16/2022,90.26,58011850,90.76,91.33,89.52,710
12/19/2022,88.44,29493030,90.255,90.56,88.21,711
12/20/2022,89.02,23453840,88.11,89.175,87.4401,712
12/21/2022,89.58,24745640,89.08,90.22,88.32,713
12/22/2022,87.76,27658290,88.16,88.54,86.32,714
12/23/2022,89.23,23003040,87.11,89.545,87.07,715
12/27/2022,87.39,20097350,88.795,88.94,87.01,716
12/28/2022,86.02,19523180,86.98,88.04,85.94,717
12/29/2022,88.45,23333540,86.62,88.845,86.61,718
12/30/2022,88.23,23986300,86.98,88.3,86.57,719
1/3/2023,89.12,28131220,89.585,91.05,88.52,720
1/4/2023,88.08,34854780,90.35,90.65,87.271,721
1/5/2023,86.2,27194380,87.47,87.57,85.9,722
1/6/2023,87.34,41381500,86.79,87.69,84.86,723
1/9/2023,88.02,29003900,88.36,90.05,87.86,724
1/10/2023,88.42,30467760,85.98,88.67,85.83,725
1/11/2023,91.52,26861970,89.18,91.6,89.01,726
1/12/2023,91.13,30258140,91.48,91.87,89.75,727
1/13/2023,92.12,26329210,90.85,92.19,90.1299,728
1/17/2023,91.29,32602420,92.06,92.25,90.05,729
1/18/2023,91.12,29116690,92.14,92.7999,90.64,730
1/19/2023,93.05,37000400,90.72,93.605,90.63,731
1/20/2023,98.02,63191080,95.1,98.3,95.02,732
1/23/2023,99.79,40005060,97.95,100.04,97.5,733
1/24/2023,97.7,33078510,98.1,99.61,97.2,734
1/25/2023,95.22,42329950,95.57,96.162,93.76,735
1/26/2023,97.52,30113970,96.5,97.57,95.38,736
1/27/2023,99.37,33879750,97.31,100.32,97.31,737
1/30/2023,96.94,27226200,97.48,98.29,96.395,738
1/31/2023,98.84,29870670,96.87,98.88,96.82,739
2/1/2023,100.43,35531100,98.71,101.19,97.58,740
2/2/2023,107.74,69883760,105.8,107.85,105.61,741
2/3/2023,104.78,65309260,102.93,107.81,102.58,742
2/6/2023,102.9,31999560,102.4,104.36,101.88,743
2/7/2023,107.64,49010230,103.22,108.18,103.12,744
2/8/2023,99.37,94743520,102.05,103.14,98.035,745
2/9/2023,95.01,119455000,100,100.03,93.63,746
2/10/2023,94.57,54980700,95.45,96.75,94.25,747
2/13/2023,94.61,50076120,94.74,95.2,93.84,748
2/14/2023,94.68,54726120,94.43,94.845,92.26,749
2/15/2023,96.94,50298480,94.49,97.12,94.15,750
2/16/2023,95.51,42462620,95.37,97.68,94.74,751
2/17/2023,94.35,34284120,94.85,95.5599,93.21,752
2/21/2023,91.79,33629260,93,93.1,91.72,753
2/22/2023,91.65,30884020,91.7,92.11,90.61,754
2/23/2023,90.89,41206380,91.92,91.94,89.76,755
2/24/2023,89.13,36585090,89.44,89.89,88.575,756
2/27/2023,89.87,27502300,89.87,90.16,89.335,757
2/28/2023,90.06,30142040,89.33,91.23,89.32,758
3/1/2023,90.36,31111230,89.98,91.03,89.67,759
3/2/2023,92,32226230,89.66,92.275,89.59,760
3/3/2023,93.65,35160110,92.48,93.73,92.45,761
3/6/2023,95.13,32639310,94.015,95.97,94,762
3/7/2023,93.86,27835480,94.98,95.67,93.53,763
3/8/2023,94.25,34103270,94.12,95.955,94,764
3/9/2023,92.32,28813530,94.05,95.53,91.9,765
3/10/2023,90.63,35941050,92.17,92.79,90.395,766
3/13/2023,91.11,37335570,90.09,92.57,89.42,767
3/14/2023,93.97,36050210,92.56,94.36,92.44,768
3/15/2023,96.11,50622050,93.22,96.93,92.64,769
3/16/2023,100.32,65567660,96.2,101.19,95.5,770
3/17/2023,101.62,61028550,100.26,102.835,100.1,771
3/20/2023,101.22,32960440,100.12,101.75,99.87,772
3/21/2023,104.92,42110280,101.25,105.1,101.22,773
3/22/2023,103.37,43427420,104.27,106.59,103.33,774
3/23/2023,105.6,40797770,105.06,106.3,104.46,775
3/24/2023,105.44,30411040,104.99,105.49,103.84,776
3/27/2023,102.46,31120860,104.615,104.76,101.9273,777
3/28/2023,101.03,32057870,102.44,102.45,99.74,778
3/29/2023,101.39,28779570,102.28,102.49,100.65,779
3/30/2023,100.89,33086180,100.91,101.155,99.78,780
3/31/2023,103.73,36863370,101.3,103.89,101.04,781
4/3/2023,104.36,25035400,102.39,104.53,101.93,782
4/4/2023,104.72,24420080,104.33,105.58,104.04,783
4/5/2023,104.47,28290500,105.78,106.1,103.66,784
4/6/2023,108.42,48711480,105.26,109.17,104.33,785
4/10/2023,106.44,27067360,106.98,107.59,105.12,786
4/11/2023,105.35,26311800,106.55,106.73,104.68,787
4/12/2023,104.64,24370270,106.58,106.75,104.34,788
4/13/2023,107.43,24843580,105.84,107.49,105.84,789
4/14/2023,108.87,26578000,106.89,108.94,106.84,790
4/17/2023,105.97,37571220,104.658,106.16,104.52,791
4/18/2023,104.5,26596450,106.49,106.54,104.07,792
4/19/2023,104.18,20905680,103.58,104.98,103.07,793
4/20/2023,105.29,27820790,103.91,106.25,103.8684,794
4/21/2023,105.41,25800080,105.47,106,104.78,795
4/24/2023,105.97,23542830,105.49,106.63,104.7,796
4/25/2023,103.85,46664100,105.825,106.69,103.84,797
4/26/2023,103.71,53347560,104.92,106.35,102.63,798
4/27/2023,107.59,50089190,104.45,108.37,103.54,799
4/28/2023,107.34,36139850,107.04,107.35,105.09,800
5/1/2023,107.2,26681680,106.84,107.99,106.82,801
5/2/2023,105.32,30997250,107.14,107.2,103.71,802
5/3/2023,105.41,21795410,105.53,107.49,104.96,803
5/4/2023,104.69,23419510,105.485,105.6,103.97,804
5/5/2023,105.57,26639250,104.82,105.88,104.11,805
5/8/2023,107.77,26511450,105.18,107.96,105.16,806
5/9/2023,107.35,36360140,108.39,110.15,107.19,807
5/10/2023,111.75,63153370,107.97,112.94,107.93,808
5/11/2023,116.57,78900030,115.395,117.92,114.41,809
